OID_,Movements_south_projected2_Length,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
84,3.814088288660956,825331.299200000241399,9873490.682700000703335,6.3914585,3.3164337,3.4952919,1,135.098966710195157
85,2.326555500912788,825203.072100000455976,9873475.150800000876188,6.2507563,4.1337285,4.0241046,1,263.911302362254844
86,3.449041768853707,825206.332600000314415,9873430.808800000697374,6.2507563,4.1337285,4.1196284,1,269.786962324964520
87,3.540205452000937,825089.536700000055134,9873349.867100000381470,6.0653996,3.9731674,4.2117581,1,400.865604671150948
88,3.437538540643017,825063.281000000424683,9873306.707299999892712,6.0653996,3.9731674,4.3122191,1,435.525192354604712
89,4.924588724450262,825326.410400000400841,9873249.859799999743700,8.2906466,3.0016603,4.9663024,1,184.499851766152119
90,4.590329222696498,825313.195299999788404,9873197.907700000330806,8.2906466,3.0016603,5.3259745,1,202.587886255500933
91,3.642409065386707,825449.160799999721348,9873204.717700000852346,7.4690242,2.7935231,4.5735803,1,66.533702681982447
92,2.688322272373555,825458.308400000445545,9873403.694499999284744,7.3348579,2.9034853,3.3023822,1,28.963859605204579
93,3.086451684118166,825403.527499999850988,9873204.416899999603629,8.2906466,3.0016603,4.8251386,1,112.028850719560324
94,1.893316065830765,825296.504999999888241,9873375.703500000759959,7.0521793,3.5367622,4.1883979,1,193.050404853374062
95,2.566790941068180,825432.740899999625981,9873406.844599999487400,7.3348579,2.9034853,3.3023822,1,53.316743648735141
96,4.306887224788677,825439.499800000339746,9873321.591600000858307,7.3348579,2.9034853,4.0935545,1,64.298312545374898
97,4.133606775948842,825166.567499999888241,9873327.110999999567866,6.0653996,3.9731674,4.6772838,1,330.253756862615091
98,3.603865980943064,825207.753899999894202,9873349.446799999102950,6.0083351,4.3219023,4.3880553,1,285.321982995341841
99,2.091751957088384,825336.254200000315905,9873310.191700000315905,7.0521793,3.5367622,4.6770225,1,167.798777274372810
100,4.037295735906325,825046.807799999602139,9873626.610999999567866,5.8448448,4.3308964,3.2567241,1,426.171455975888023
101,3.202964558455594,825155.756299999542534,9873602.739099999889731,5.8448448,4.3308964,3.2589414,1,315.077058364215873
102,3.635139880072649,825288.177099999971688,9873579.870699999853969,6.4925685,4.2171850,3.3569605,1,180.826398382632135
103,2.903729465079611,825185.393899999558926,9873598.405999999493361,6.4925685,4.2171850,3.2683196,1,285.129338213431481
104,3.524243670262240,825156.451299999840558,9873545.648499999195337,5.9755521,3.6145928,3.7171257,1,307.496016345291821
105,3.367050204344978,825099.706399999558926,9873442.947300000116229,5.9755521,3.6145928,4.0205169,1,371.555487457783613
106,4.208227223134443,825115.996899999678135,9873403.667400000616908,6.0653996,3.9731674,4.2713943,1,363.792514010339062
107,4.324301805649862,825188.912600000388920,9873450.821900000795722,6.2507563,4.1337285,4.0241046,1,282.662678479666624
108,3.110216891121111,825073.575100000016391,9873426.383300000801682,5.9755521,3.6145928,4.0205169,1,400.560838608731729
