OID_,mem_point_LineOID,mem_point_Value,Movement_Merge_FID,Movement_Merge_Id,Movement_Merge_Length,Movement_Merge_Distance,Movement_Merge_UniID,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
966,965,0,965,0,10,9.98706077222,966,823558.4092,9893905.9519,5.4460502,8.1800861,3.4530413,1,1762.74912753647
967,966,0,966,0,11,10.8164681664,967,823723.7567,9893862.8599,6.3142009,3.8348644,2.4793496,1,1592.39836273694
968,967,0,967,0,8,7.62429451501,968,823580.9304,9893712.5646,5.3672833,7.2845473,2.4389169,1,1688.10997593226
969,968,0,968,0,10,9.98563409069,969,823578.4101,9893647.9422,5.4116035,7.2749348,2.1597953,1,1677.36668617063
970,969,0,969,0,12,12.1710507391,970,823651.6295,9893621.5717,5.4116035,7.2749348,1.5886501,1,1600.53961261817
971,970,0,970,0,14,14.0765358903,971,823698.081,9893539.2108,5.5701823,6.2981191,1.559287,1,1540.90103360283
972,971,0,971,0,11,10.8441091196,972,823592.6046,9893507.3044,5.721468,4.5447125,1.4784424,1,1641.28601479499
973,972,0,972,0,8,8.27201787635,973,823460.8923,9893483.5578,5.3692369,11.5833426,1.3271847,1,1769.74127757589
974,973,0,973,0,7,7.25560987724,974,823450.1804,9893698.2183,5.528357,10.261034,3.0121975,1,1812.88551512802
975,974,0,974,0,6,6.41749641767,975,823331.5599,9893732.9752,5.4205427,8.9925909,3.4612281,1,1936.08488592695
976,975,0,975,0,5,5.19713403134,976,823394.6458,9893729.2347,5.4205427,8.9925909,3.3678248,1,1873.59395581925
977,976,0,976,0,8,8.32466269808,977,823285.7113,9893807.4876,6.3851452,4.6561728,3.6417031,1,1997.23913263264
978,977,0,977,0,9,8.8315038418,978,823340.3041,9893791.3246,5.4205427,8.9925909,3.6911547,1,1940.37619826634
979,978,0,978,0,2,2.05667994744,979,822995.2665,9894002.226,6.7813053,1.8066427,3.0644336,1,2328.56079289263
980,979,0,979,0,5,4.94977707727,980,822901.6598,9893962.6723,6.9919162,1.5321479,2.651006,1,2407.81429117673
981,980,0,980,0,4,3.51902874631,981,822899.8924,9893910.2686,7.6984563,1.4899861,2.6243474,1,2396.43188178591
982,981,0,981,0,6,6.27490345657,982,823222.7023,9893733.2784,5.5872965,7.9670963,3.3177016,1,2042.81354658326
983,982,0,982,0,8,8.48268063916,983,823135.5869,9893596.8355,5.4998202,8.657753,1.7237889,1,2105.94116114955
984,983,0,983,0,8,7.58134558768,984,822809.6341,9893334.6658,5.5162139,9.1371059,0,1,2413.04357096493
985,984,0,984,0,10,10.1986469291,985,823031.5352,9893183.2653,5.0800257,9.5070381,0,1,2195.02621277712
986,985,0,985,0,9,9.10007577565,986,823127.0895,9893144.1563,5.7551851,5.1862884,0,1,2102.16750267549
987,986,0,986,0,12,11.8213753679,987,823066.4227,9893062.6772,5.7551851,5.1862884,0.7816194,1,2169.14919268771
988,987,0,987,0,11,11.0298696657,988,822970.0753,9893104.157,5.4763379,9.3580971,0.4616425,1,2261.56274846312
989,988,0,988,0,13,13.3833478519,989,823225.4057,9892987.0144,5.6993437,5.4866943,1.1254911,1,2018.68492764706
990,989,0,989,0,9,9.43156583454,990,823016.3286,9892883.6996,5.8042426,4.252512,1.4459841,1,2235.75297792374
991,990,0,990,0,11,11.3464080358,991,823082.4443,9892827.551,5.5036364,5.8720102,1.5034071,1,2174.88758981128
992,991,0,991,0,11,10.57297516,992,823197.5443,9892768.6742,5.215261,10.4620333,1.5701424,1,2066.77466841341
993,992,0,992,0,8,7.87142233639,993,823149.1298,9892694.137,5.3553514,9.5491438,1.6005963,1,2122.98703515157
994,993,0,993,0,10,10.1986355187,994,823037.6768,9892739.8962,5.4123616,6.5412793,1.5889268,1,2228.82020600864
995,994,0,994,0,10,9.60672874646,995,823119.3058,9892598.4111,5.1706462,10.3400812,1.531176,1,2164.05755572105
996,995,0,995,0,12,11.995360446,996,823274.5561,9892621.5046,5.1105037,8.4627466,1.6019075,1,2007.10446771071
997,996,0,996,0,10,10.2230986545,997,823261.6032,9892539.9847,5.5460038,8.8636007,1.5325409,1,2032.18976141411
998,997,0,997,0,11,10.5398730358,998,823354.9881,9892567.8714,5.4429002,6.6299319,1.5926936,1,1935.63100675222
999,998,0,998,0,8,7.71400190942,999,823496.1306,9892460.9379,5.7826047,5.790204,1.499249,1,1812.74194958315
1000,999,0,999,0,9,9.33373238526,1000,823383.184,9892434.6481,5.3691077,6.3730206,1.380301,1,1928.5049379146
1001,1000,0,1000,0,13,13.4354665572,1001,823303.793,9892404.2212,5.0528207,7.4951477,1.1820222,1,2011.98839057058
1002,1001,0,1001,0,11,11.0026771559,1002,823244.7491,9892360.9785,5.3252525,8.083127,0.9254754,1,2078.0256225013
1003,1002,0,1002,0,9,8.81082754946,1003,823488.0729,9892523.3309,5.7826047,5.790204,1.551218,1,1810.96032821848
1004,1003,0,1003,0,8,8.43368448626,1004,823480.3493,9892481.2026,5.7826047,5.790204,1.488935,1,1825.06027689624
1005,1004,0,1004,0,9,9.01965402866,1005,823618.0691,9892339.8,5.8290577,4.6357121,1.0884871,1,1716.35303181968
1006,1005,0,1005,0,6,6.36701950717,1006,823693.6712,9892249.1444,5.4405193,8.3797817,0.866462,1,1661.13408259733
1007,1006,0,1006,0,10,9.7325828915,1007,823564.6913,9892227.6615,5.6650448,4.9027815,0,1,1791.76844801787
1008,1007,0,1007,0,11,11.4356282723,1008,823505.7108,9892227.4491,5.3371468,7.6933966,0,1,1849.51775548918
1009,1008,0,1008,0,10,9.89592722436,1009,823411.0359,9892179.3389,5.3583269,8.3676167,0,1,1952.09562261614
1010,1009,0,1009,0,10,9.70621158205,1010,823306.8663,9892248.4774,5.3583269,8.3676167,0,1,2039.71445997584
1011,1010,0,1010,0,11,10.760886819,1011,823382.762,9892221.7616,5.3583269,8.3676167,0,1,1970.98472801277
1012,1011,0,1011,0,10,9.65616506232,1012,823469.5149,9893200.5219,5.3268237,8.5865755,0,1,1756.82361600301
1013,1012,0,1012,0,8,8.1888888055,1013,823324.7081,9893239.0938,5.521688,5.8321428,0,1,1899.41189229575
1014,1013,0,1013,0,7,7.4902532365,1014,823027.1849,9893366.0999,5.3671618,9.029355,0,1,2196.00563583663
1015,1014,0,1014,0,11,11.0151625429,1015,823081.1994,9893293.6873,5.4296598,7.9999704,0,1,2141.50612037658
1016,1015,0,1015,0,11,10.7202880677,1016,823333.7532,9893525.6352,5.3137779,7.1266756,1.2606556,1,1900.54162832038
1017,1016,0,1016,0,9,8.80316393898,1017,823113.0242,9893384.0921,5.4770374,9.2325983,0,1,2110.70185116577
1018,1017,0,1017,0,10,9.99338857761,1018,822895.5374,9893611.8711,5.0589781,10.0285292,0.8154879,1,2345.9075144131
1019,1018,0,1018,0,7,6.79684967038,1019,823275.5387,9894404.4479,4.9680862,11.8823195,3.6403286,1,2113.0412362747
1020,1019,0,1019,0,7,6.88427578123,1020,823274.9584,9894282.4547,5.8726726,8.6853151,4.7215548,1,2166.00456085522
1021,1020,0,1020,0,8,7.71827771455,1021,823294.1556,9895166.0571,6.165307,5.5288472,2.8034992,1,1511.20174054708
1022,1021,0,1021,0,5,5.33415070179,1022,823262.1467,9895244.6919,7.8786221,1.029232,3.2431428,1,1474.17079124079
